Player,Mat,Inns,Not_Outs,Runs,HS,Ave,BF,SR,hundreds,fifties,Ducks,fours,sixes
Khurram Chohan (Can),8,5,3,79,35,39.5,103,77,0,0,1,3,3
Khurram Khan (UAE),2,2,0,80,78,40,88,91,0,1,0,8,0
Khurram Manzoor (Pak),7,7,0,236,83,33.71,375,63,0,3,1,21,0
L Balaji (India),1,1,0,7,7,7,10,70,0,0,0,1,0
L Ronchi (Aus),4,2,0,76,64,38,37,205,0,1,0,6,6
LJ Wright (Eng),23,17,1,354,52,22.12,372,95,0,1,0,32,12
LMP Simmons (WI),6,6,1,122,62,24.4,204,60,0,1,2,11,2
LN Onyango (Kenya),12,8,3,50,17,10,59,85,0,0,2,3,3
LOB Cann (Ber),4,4,0,47,21,11.75,50,94,0,0,0,7,1
LPC Silva (SL),20,17,1,281,67,17.56,440,64,0,2,4,19,1
LR Johnson (WI),3,3,0,79,51,26.33,114,69,0,1,0,8,1
LRPL Taylor (NZ),40,36,7,1052,103,36.27,1306,81,1,7,2,90,27
LS Baker (WI),10,4,2,13,11,6.5,23,57,0,0,1,2,0
M Morkel (SA),15,5,1,29,15,7.25,36,81,0,0,1,3,0
M Muralitharan (SL),37,22,10,169,33,14.08,163,104,0,0,2,16,5
M Ntini (SA),9,5,3,13,9,6.5,19,68,0,0,1,0,1
MA Ouma (Kenya),26,24,1,512,61,22.26,838,61,0,3,3,41,1
MA Vermeulen (Zim),11,11,0,285,92,25.9,387,74,0,2,0,29,1
MC Henriques (Aus),2,2,0,18,12,9,30,60,0,0,0,0,0
MDK Perera (SL),3,3,0,14,8,4.66,36,39,0,0,0,1,0
MEK Hussey (Aus),51,47,12,1788,85,51.08,2120,84,0,17,0,109,20
MF Maharoof (SL),16,12,3,222,38,24.66,275,81,0,0,0,17,4
MG Johnson (Aus),47,30,10,327,73,16.35,353,93,0,1,3,28,8
MJ Clarke (Aus),41,41,6,1339,100,38.25,2004,67,1,12,2,109,2
MJ Guptill (NZ),22,20,3,730,122,42.94,879,83,1,6,0,62,15
MJ North (Aus),2,2,0,6,5,3,19,32,0,0,0,0,0
MJ Petrie (Scot),4,2,0,3,3,1.5,18,17,0,0,1,0,0
MJ Prior (Eng),27,25,7,509,87,28.27,665,77,0,1,2,50,3
MK Tiwary (India),1,1,0,2,2,2,16,13,0,0,0,0,0
ML Hayden (Aus),8,8,0,298,82,37.25,387,77,0,3,0,35,2
ML Udawatte (SL),9,9,0,257,73,28.55,383,67,0,2,1,25,3
MM Iqbal (Scot),2,2,0,21,15,10.5,39,54,0,0,0,2,0
MM Patel (India),18,7,4,22,15,7.33,32,69,0,0,2,2,1
MN Samuels (WI),7,7,2,172,98,34.4,183,94,0,2,1,11,7
MN Waller (Zim),14,13,1,189,63,15.75,272,69,0,1,2,21,1
MQ Sheikh (Scot),6,6,1,49,23,9.8,112,44,0,0,0,6,0
MS Dhoni (India),55,48,14,2116,124,62.23,2569,82,2,16,0,138,27
MS Sinclair (NZ),1,1,0,2,2,2,11,18,0,0,0,0,0
MV Boucher (SA),26,21,8,404,57,31.07,436,93,0,1,2,30,8
Mahbubul Alam (Bang),5,2,0,81,59,40.5,71,114,0,1,0,3,4
Mahmudullah (Bang),36,28,8,527,58,26.35,801,66,0,2,0,33,6
Mansoor Amjad (Pak),1,1,0,5,5,5,10,50,0,0,0,0,0
Mashrafe Mortaza (Bang),31,25,4,300,38,14.28,431,70,0,0,3,21,7
Mehrab Hossain jnr (Ban,7,6,0,73,43,12.16,172,42,0,0,1,6,0
Mirwais Ashraf (Afgh),1,1,0,17,17,17,19,89,0,0,0,1,0
Misbah-ul-Haq (Pak),34,29,8,946,79,45.04,1111,85,0,7,1,72,15
Mohammad Aamer (Pak),11,7,3,82,24,20.5,102,80,0,0,2,11,0
Mohammad Ashraful (Bang,45,45,4,1124,109,27.41,1621,69,2,7,2,106,7
Mohammad Iqbal (Can),3,3,0,21,17,7,27,78,0,0,1,3,0
Mohammad Nabi (Afgh),3,3,1,74,58,37,82,90,0,1,0,6,3
Mohammad Shahzad (Afgh),2,2,0,126,110,63,139,91,1,0,0,13,0
Mohammad Tauqir (UAE),2,2,0,26,17,13,36,72,0,0,0,4,0
Mohammad Yousuf (Pak),26,24,5,893,108,47,1064,84,2,3,0,85,4
Mosharraf Hossain (Bang,3,3,0,15,8,5,43,35,0,0,0,0,0
Mudassar Bukhari (Neth),10,7,0,62,38,8.85,133,47,0,0,1,7,0
Munir Dar (HK),2,2,0,18,14,9,16,113,0,0,0,4,0
Mushfiqur Rahim (Bang),31,29,4,572,98,22.88,831,69,0,2,1,51,4
N Fernandes (UAE),1,1,0,5,5,5,13,38,0,0,0,0,0
N Odhiambo (Kenya),21,19,5,218,40,15.57,259,84,0,0,0,18,7
NA Statham (Neth),1,1,0,0,0,0,6,0,0,0,1,0,0
ND McKenzie (SA),5,4,0,108,63,27,165,65,0,1,0,9,0
NFI McCallum (Scot),13,12,5,299,121,42.71,367,81,1,1,0,38,3
NJ O'Brien (Ire),12,12,3,312,70,34.66,432,72,0,2,0,34,3
NL McCullum (NZ),2,2,0,0,0,0,2,0,0,0,2,0,0
NM Hauritz (Aus),30,15,9,161,30,26.83,187,86,0,0,0,11,3
NO Miller (WI),20,12,6,161,51,26.83,195,83,0,1,1,15,2
NS Poonia (Scot),7,7,0,53,22,7.57,106,50,0,0,2,4,0
NT Broom (NZ),16,15,3,201,37,16.75,301,67,0,0,3,15,2
NT Pascal (WI),1,1,0,0,0,0,1,0,0,0,1,0,0
NW Bracken (Aus),42,15,8,52,14,7.42,95,55,0,0,2,3,0
Nadeem Ahmed (HK),2,2,0,2,2,1,15,13,0,0,1,0,0
Naeem Islam (Bang),24,19,9,302,73,30.2,494,61,0,1,3,24,9
Najeeb Amar (HK),2,2,1,34,21,34,41,83,0,0,0,5,0
Nasir Jamshed (Pak),12,12,2,353,74,35.3,349,101,0,4,1,49,6
Naumanullah (Pak),1,1,0,5,5,5,4,125,0,0,0,1,0
Naved-ul-Hasan (Pak),7,5,3,89,33,44.5,71,125,0,0,0,4,5
Nazimuddin (Bang),7,7,0,90,47,12.85,130,69,0,0,0,13,1
Nazmul Hossain (Bang),14,7,3,5,3,1.25,36,14,0,0,4,0,0
Noor Ali (Afgh),3,3,0,94,45,31.33,110,85,0,0,0,14,0
Nowroz Mangal (Afgh),3,3,0,66,32,22,106,62,0,0,0,5,0
OA Shah (Eng),40,36,3,1132,98,34.3,1368,83,0,8,4,92,21
OO Bascome (Ber),6,6,0,65,20,10.83,145,45,0,0,0,5,1
P Connell (Ire),11,3,2,38,22,38,65,58,0,0,0,6,1
P Kumar (India),31,15,5,171,54,17.1,190,90,0,1,0,18,3
P Mustard (Eng),5,5,0,144,83,28.8,159,91,0,1,0,16,4
P Utseya (Zim),31,24,9,331,68,22.06,625,53,0,2,3,19,5
PA Browne (WI),5,5,1,134,49,33.5,179,75,0,0,0,7,6
PD Collingwood (Eng),34,30,5,910,82,36.4,1089,84,0,6,0,71,23
PD McGlashan (NZ),4,2,1,63,56,63,51,124,0,1,0,6,1
PG Fulton (NZ),10,9,1,104,40,13,190,55,0,0,1,10,3
PJ Ongondo (Kenya),22,18,7,79,18,7.18,137,58,0,0,3,5,3
PM Seelaar (Neth),8,3,2,6,5,6,28,21,0,0,1,0,0
PM Siddle (Aus),12,3,1,12,8,6,13,92,0,0,0,1,0
PP Chawla (India),8,3,2,8,6,8,9,89,0,0,0,1,0
PP Ojha (India),9,4,3,27,16,27,55,49,0,0,0,2,0
PR Stirling (Ire),6,6,1,128,84,25.6,177,72,0,1,0,11,3
PS Eaglestone (Ire),1,1,0,4,4,4,3,133,0,0,0,1,0
PW Borren (Neth),9,8,0,98,50,12.25,110,89,0,1,2,7,2
Qaiser Ali (Can),3,3,0,22,11,7.33,44,50,0,0,0,1,1
R Dravid (India),6,5,0,180,76,36,262,69,0,1,0,11,2
